"week_date","week_start_date","week_end_date","data_type","count"
2010-01-05,2010-01-03,2010-01-09,"Cases",0
2010-01-12,2010-01-10,2010-01-16,"Cases",0
2010-01-19,2010-01-17,2010-01-23,"Cases",0
2010-01-26,2010-01-24,2010-01-30,"Cases",0
2010-02-02,2010-01-31,2010-02-06,"Cases",0
2010-02-09,2010-02-07,2010-02-13,"Cases",0
2010-02-16,2010-02-14,2010-02-20,"Cases",0
2010-02-23,2010-02-21,2010-02-27,"Cases",0
2010-03-02,2010-02-28,2010-03-06,"Cases",0
2010-03-09,2010-03-07,2010-03-13,"Cases",1
2010-03-16,2010-03-14,2010-03-20,"Cases",2
2010-03-23,2010-03-21,2010-03-27,"Cases",4
2010-03-30,2010-03-28,2010-04-03,"Cases",10
2010-04-06,2010-04-04,2010-04-10,"Cases",5
2010-04-13,2010-04-11,2010-04-17,"Cases",47
2010-04-20,2010-04-18,2010-04-24,"Cases",41
2010-04-27,2010-04-25,2010-05-01,"Cases",50
2010-05-04,2010-05-02,2010-05-08,"Cases",66
2010-05-11,2010-05-09,2010-05-15,"Cases",57
2010-05-18,2010-05-16,2010-05-22,"Cases",43
2010-05-25,2010-05-23,2010-05-29,"Cases",9
2010-06-01,2010-05-30,2010-06-05,"Cases",7
2010-06-08,2010-06-06,2010-06-12,"Cases",0
2010-06-15,2010-06-13,2010-06-19,"Cases",1
2010-06-22,2010-06-20,2010-06-26,"Cases",0
2010-06-29,2010-06-27,2010-07-03,"Cases",1
2010-07-06,2010-07-04,2010-07-10,"Cases",0
2010-01-05,2010-01-03,2010-01-09,"Sequences",0
2010-01-12,2010-01-10,2010-01-16,"Sequences",0
2010-01-19,2010-01-17,2010-01-23,"Sequences",0
2010-01-26,2010-01-24,2010-01-30,"Sequences",0
2010-02-02,2010-01-31,2010-02-06,"Sequences",1
2010-02-09,2010-02-07,2010-02-13,"Sequences",1
2010-02-16,2010-02-14,2010-02-20,"Sequences",0
2010-02-23,2010-02-21,2010-02-27,"Sequences",2
2010-03-02,2010-02-28,2010-03-06,"Sequences",3
2010-03-09,2010-03-07,2010-03-13,"Sequences",3
2010-03-16,2010-03-14,2010-03-20,"Sequences",2
2010-03-23,2010-03-21,2010-03-27,"Sequences",1
2010-03-30,2010-03-28,2010-04-03,"Sequences",9
2010-04-06,2010-04-04,2010-04-10,"Sequences",19
2010-04-13,2010-04-11,2010-04-17,"Sequences",10
2010-04-20,2010-04-18,2010-04-24,"Sequences",16
2010-04-27,2010-04-25,2010-05-01,"Sequences",9
2010-05-04,2010-05-02,2010-05-08,"Sequences",11
2010-05-11,2010-05-09,2010-05-15,"Sequences",15
2010-05-18,2010-05-16,2010-05-22,"Sequences",7
2010-05-25,2010-05-23,2010-05-29,"Sequences",2
2010-06-01,2010-05-30,2010-06-05,"Sequences",1
2010-06-08,2010-06-06,2010-06-12,"Sequences",2
2010-06-15,2010-06-13,2010-06-19,"Sequences",1
2010-06-22,2010-06-20,2010-06-26,"Sequences",0
2010-06-29,2010-06-27,2010-07-03,"Sequences",0
2010-07-06,2010-07-04,2010-07-10,"Sequences",1
